,group,day,num,S,name,hight,peak,L,R,A,peaknumber,index,AA
45,D1-4,D1,4,TRUE,JCM14889-1s-45,0.676703875,220,209,229,5.698411639,2,45,3.190331992
46,D1-4,D1,4,TRUE,JCM14889-1s-46,0.969059439,220,209,231,8.193781888,2,46,4.064335957
47,D1-4,D1,4,TRUE,JCM14889-1s-47,0.344012046,219,205,231,3.146925819,2,47,2.147456311
48,D1-4,D1,4,TRUE,JCM14889-1s-48,1.397948977,220,203,234,12.02518792,2,48,5.248814784
51,D1-4,D1,4,TRUE,JCM14889-1s-51,0.724052268,220,211,231,5.947045118,2,51,3.282470428
52,D1-4,D1,4,TRUE,JCM14889-1s-52,1.007373175,220,206,230,8.718481596,2,52,4.236045049
53,D1-4,D1,4,TRUE,JCM14889-1s-53,1.246703048,220,197,234,9.750413527,2,53,4.564032098
54,D1-4,D1,4,TRUE,JCM14889-1s-54,1.560335065,220,203,234,13.85324549,2,54,5.768120887
55,D1-4,D1,4,TRUE,JCM14889-1s-55,1.532992996,220,198,232,13.73563831,2,55,5.735428863
56,D1-4,D1,4,TRUE,JCM14889-1s-56,0.481515922,219,210,231,4.231640961,2,56,2.61620964
57,D1-4,D1,4,TRUE,JCM14889-1s-57,1.172520363,220,206,236,10.14843517,2,57,4.687407614
58,D1-4,D1,4,TRUE,JCM14889-1s-58,1.563552568,220,201,232,13.49919016,2,58,5.66941798
59,D1-4,D1,4,TRUE,JCM14889-1s-59,1.317798606,220,204,232,10.97827111,2,59,4.939571782
60,D1-4,D1,4,TRUE,JCM14889-1s-60,1.700683185,221,200,235,14.11481991,2,60,5.840502681
61,D1-4,D1,4,TRUE,JCM14889-1s-61,1.168038334,220,200,233,10.2559338,2,61,4.720450768
62,D1-4,D1,4,TRUE,JCM14889-1s-62,1.547452935,221,206,236,13.23942979,2,62,5.59645291
63,D1-4,D1,4,TRUE,JCM14889-1s-63,1.380851351,220,204,232,10.74587032,2,63,4.869612424
